nombre,domicilio,localidad,cp,longitud,latitud
FENOGLIO,ZEBALLOS ESTANISLAO 1901,ROSARIO,2000,-60.65140615,-32.95300516
GIMENEZ,24 DE SETIEMBRE 1362,ROSARIO,2000,-60.6503551,-32.97955255
GONZALEZ C.,27 DE FEBRERO 1499,ROSARIO,2000,-60.64909676,-32.96668417
GRANDOLI,GRANDOLI ABANDERADO 4043,ROSARIO,2000,-60.62840809,-32.98765471
GOMEZ,ALBERDI 243,ROSARIO,2000,-60.67402491,-32.92988843
GARCIA,FRANCIA AV 2788,ROSARIO,2000,-60.67153618,-32.96483755
GENOVA,GENOVA 1199,ROSARIO,2000,-60.68036203,-32.91504655
GUARINO,AYACUCHO 6147,ROSARIO,2000,-60.63582598,-33.00793987
GIUDICI,AYALA GAUNA 7887,ROSARIO,2000,-60.73266374,-32.91247397
GOMEZ VALLE,BAIGORRIA JUAN BAUTISTA 2350,ROSARIO,2000,,
GARIN,BROWN GUILLERMO 1774,ROSARIO,2000,,
GERVATTI,AVELLANEDA BIS BV 967,ROSARIO,2000,-60.6734659,-32.91631494
GALIGANI,OROO NICASIO BV 3714,ROSARIO,2000,,
GONZALEZ,SEGUI JUAN FRANCISCO BV 3903,ROSARIO,2000,,
GIOVINAZO,CASIANO CASAS 1284,ROSARIO,2000,-60.70070616,-32.90380296
G. GARCIA,CORRIENTES AV 4799,ROSARIO,2000,-60.65364977,-32.9930564
CAPPETINI,MATIENZO 2002,ROSARIO,2000,-60.69425024,-32.95172246
CUPELLINO,MAZA JUAN AGUSTIN 3302,ROSARIO,2000,,
CAPPONI,MENDOZA AV 6035,ROSARIO,2000,,
COLLA,MENDOZA AV 5357,ROSARIO,2000,,
CRUZ DEL PORTAL,NANSEN 248,ROSARIO,2000,-60.682969,-32.909068
CONDE,NECOCHEA 1245,ROSARIO,2000,-60.62559029,-32.95438318
COXHEAD,NECOCHEA 1483,ROSARIO,2000,-60.62631052,-32.95733229
